video_id,title,publishedAt,publishtime,views,likes,comments,duration,subscriber_count,duration_seconds,duration_minutes,video_type,thumbnail_url
jOe_xY5-DII,I Bought UNREALISTIC Pinterest Products,26-02-2023,14:45:04Z,8770757,161726,4029,PT13M1S,7260000,781,13,Full Video,https://i.ytimg.com/vi/jOe_xY5-DII/hqdefault.jpg
7c6F1jic8oU,Rating 10 POPULAR YouTuber Brands,18-02-2023,14:30:01Z,7143230,237155,5069,PT20M2S,7260000,1202,20,Full Video,https://i.ytimg.com/vi/7c6F1jic8oU/hqdefault.jpg
8IdCf9tRr6s,I Bought SATISFYING Viral TikTok Products,04-02-2023,14:30:03Z,9541365,105848,4388,PT10M23S,7260000,623,10,Full Video,https://i.ytimg.com/vi/8IdCf9tRr6s/hqdefault.jpg
5Im8ZjOpEmc,this dress is MAGIC,03-02-2023,20:48:08Z,7249746,189282,1844,PT13S,7260000,13,0,Shorts,https://i.ytimg.com/vi/5Im8ZjOpEmc/hqdefault.jpg
BhP3nG16j7w,I Bought 200 LOST MAIL Packages,29-01-2023,15:30:02Z,7991926,136630,8064,PT12M53S,7260000,773,13,Full Video,https://i.ytimg.com/vi/BhP3nG16j7w/hqdefault.jpg
PkjfvC686UY,Will POP ROCKS turn into cotton candy?! *disaster*,24-01-2023,13:00:12Z,3008874,111867,388,PT28S,7260000,28,0,Shorts,https://i.ytimg.com/vi/PkjfvC686UY/hqdefault.jpg
LGpnuyHejA0,Customizing Sneakers and Giving them Away! 🔴 LIVE STREAM 🔴,21-01-2023,20:53:38Z,1655854,12350,3423,PT1H33M7S,7260000,5587,93,Full Video,https://i.ytimg.com/vi/LGpnuyHejA0/hqdefault.jpg
zk3Hs6HgXVk,Will it COTTON CANDY?! Carmel Apple Pop Edition,20-01-2023,22:58:34Z,2395207,126536,1744,PT36S,7260000,36,1,Shorts,https://i.ytimg.com/vi/zk3Hs6HgXVk/hqdefault.jpg
hf8uS5meTW0,I Bought VIRAL TikTok Candy,14-01-2023,15:30:09Z,11722225,128791,4776,PT13M51S,7260000,831,14,Full Video,https://i.ytimg.com/vi/hf8uS5meTW0/hqdefault.jpg
aOPYP4F-rPc,I put A FISH in my CLEAR SHOES,13-01-2023,15:00:01Z,50224206,1823283,22280,PT32S,7260000,32,1,Shorts,https://i.ytimg.com/vi/aOPYP4F-rPc/hqdefault.jpg
5C0ERMO1ocw,I made ORBEEZ SHOES,08-01-2023,15:30:00Z,32209083,968486,13010,PT40S,7260000,40,1,Shorts,https://i.ytimg.com/vi/5C0ERMO1ocw/hqdefault.jpg
_3Wah0P7uBM,"I Spent $10,000 on an LUXURY ABANDONED STORAGE UNIT",01-01-2023,15:30:04Z,9297548,131121,5626,PT17M11S,7260000,1031,17,Full Video,https://i.ytimg.com/vi/_3Wah0P7uBM/hqdefault.jpg
7uhafzrZUg4,I MADE A SPRAY ON DRESS 🍜 👗,28-12-2022,14:00:07Z,18468012,303832,612,PT32S,7260000,32,1,Shorts,https://i.ytimg.com/vi/7uhafzrZUg4/hqdefault.jpg
cpP8eo6Anok,I Bought Shoe RETURNS for CHEAP 🔴 LIVE STREAM 🔴,23-12-2022,19:55:02Z,548789,13065,2407,PT34M43S,7260000,2083,35,Full Video,https://i.ytimg.com/vi/cpP8eo6Anok/hqdefault.jpg
Y28yGTbIpWg,Choosing my Christmas outfit 🎄,21-12-2022,14:00:31Z,2821413,109717,1037,PT16S,7260000,16,0,Shorts,https://i.ytimg.com/vi/Y28yGTbIpWg/hqdefault.jpg
9ngrFkXbahw,I Bought UNREALISTIC PINTEREST Accessories,17-12-2022,15:30:01Z,9955167,142522,3958,PT12M4S,7260000,724,12,Full Video,https://i.ytimg.com/vi/9ngrFkXbahw/hqdefault.jpg
cre3txKUP7g,I Bought a LIGHT UP Wardrobe,10-12-2022,15:30:09Z,4059285,105986,4085,PT9M40S,7260000,580,10,Full Video,https://i.ytimg.com/vi/cre3txKUP7g/hqdefault.jpg
EF0f0QSu7ls,I CANT CHOOSE A STREAMY AWARDS OUTFIT 📸 🍿👗,04-12-2022,23:25:56Z,3217664,131589,2343,PT25S,7260000,25,0,Shorts,https://i.ytimg.com/vi/EF0f0QSu7ls/hqdefault.jpg
eWjz8_KMll4,I Bought the most SATISFYING Viral Tiktok Products,03-12-2022,15:30:10Z,15499449,177559,5041,PT13M20S,7260000,800,13,Full Video,https://i.ytimg.com/vi/eWjz8_KMll4/hqdefault.jpg
#NAME?,Transforming my DIOR bag with CRYSTALS,01-12-2022,17:47:44Z,7590589,378628,967,PT43S,7260000,43,1,Shorts,https://i.ytimg.com/vi/-LpivVV7n5E/hqdefault.jpg
7ezRFn1MbrE,I Bought MINI PRODUCTS that Actually Work + a MINI HOUSE,26-11-2022,15:30:04Z,8516787,125043,4451,PT12M11S,7260000,731,12,Full Video,https://i.ytimg.com/vi/7ezRFn1MbrE/hqdefault.jpg
tiOpVLMkPis,I Bought CRIME EVIDENCE Packages for CHEAP,20-11-2022,15:30:17Z,3854002,78466,2971,PT13M32S,7260000,812,14,Full Video,https://i.ytimg.com/vi/tiOpVLMkPis/hqdefault.jpg
ATmWaLuQq64,I’m the problem it’s me… #shorts #tsantiherochallenge,16-11-2022,15:00:06Z,2794858,97167,656,PT7S,7260000,7,0,Shorts,https://i.ytimg.com/vi/ATmWaLuQq64/hqdefault.jpg
dz8FuFGwlGM,Is my DESIGNER bag REAL or FAKE??,13-11-2022,19:37:07Z,6749970,348157,658,PT33S,7260000,33,1,Shorts,https://i.ytimg.com/vi/dz8FuFGwlGM/hqdefault.jpg
