video_id,title,publishedAt,publishtime,views,likes,comments,duration,subscriber_count,duration_seconds,duration_minutes,video_type,thumbnail_url,PublishedDay_Monday,PublishedDay_Saturday,PublishedDay_Sunday,PublishedDay_Thursday,PublishedDay_Tuesday,PublishedDay_Wednesday,Year,Month,Day
k7Fo6FXlejA,"I Bought the SAME DRESS for $15, $50, $500, $5000",2024-11-09,14:30:19Z,11598178,255198,8294.0,PT21M36S,7260000,1296,22,Full Video,https://i.ytimg.com/vi/k7Fo6FXlejA/hqdefault.jpg,0,0,0,0,0,1,2024,11,9
zpz0O2hFGYw,I Stayed in BARBIE Themed Airbnbs,2024-11-02,13:30:38Z,2479434,40294,3512.0,PT28M8S,7260000,1688,28,Full Video,https://i.ytimg.com/vi/zpz0O2hFGYw/hqdefault.jpg,0,0,1,0,0,0,2024,11,2
xozQWedEcJc,Will this smoke DYE my DRESS?,2024-10-29,22:41:38Z,71820610,2736251,2536.0,PT38S,7260000,38,1,Shorts,https://i.ytimg.com/vi/xozQWedEcJc/hqdefault.jpg,0,0,0,0,1,0,2024,10,29
KTorl1F9uN4,DRESS TO IMPRESS In Real Life,2024-10-26,13:30:12Z,6884555,84427,5458.0,PT20M39S,7260000,1239,21,Full Video,https://i.ytimg.com/vi/KTorl1F9uN4/hqdefault.jpg,0,1,0,0,0,0,2024,10,26
qlRBxgO4U_I,I Tested 15 UNUSUAL BEAUTY Products,2024-10-19,13:30:36Z,7580731,84616,3687.0,PT20M40S,7260000,1240,21,Full Video,https://i.ytimg.com/vi/qlRBxgO4U_I/hqdefault.jpg,0,1,0,0,0,0,2024,10,19
JUvQIV3PQ1w,I made your favorite candy GIANT,2024-10-15,23:49:14Z,6757773,210294,684.0,PT34S,7260000,34,1,Shorts,https://i.ytimg.com/vi/JUvQIV3PQ1w/hqdefault.jpg,0,0,0,0,1,0,2024,10,15
co5UnLrvEb0,I Created GIANT CANDY that you can ACTUALLY EAT,2024-10-12,13:30:31Z,6526620,65405,5542.0,PT28M3S,7260000,1683,28,Full Video,https://i.ytimg.com/vi/co5UnLrvEb0/hqdefault.jpg,0,0,0,0,1,0,2024,10,12
E0GxLmH0ZbM,Recreating UNREALISTIC PINTEREST Photos NYC,2024-10-03,20:21:49Z,1763160,97274,302.0,PT55S,7260000,55,1,Shorts,https://i.ytimg.com/vi/E0GxLmH0ZbM/hqdefault.jpg,0,0,1,0,0,0,2024,10,3
x6kydcOmOts,ALL the LOST LUGGAGE I have ever bought (Compilation),2024-09-28,15:32:50Z,1426952,29777,1338.0,PT1H13M39S,7260000,4419,74,Full Video,https://i.ytimg.com/vi/x6kydcOmOts/hqdefault.jpg,0,1,0,0,0,0,2024,9,28
x2Sq6aA5AVU,I Bought VINTAGE vs NEW Beauty Products,2024-09-21,13:30:28Z,6476396,63894,3470.0,PT34M1S,7260000,2041,34,Full Video,https://i.ytimg.com/vi/x2Sq6aA5AVU/hqdefault.jpg,0,1,0,0,0,0,2024,9,21
QU_VkUq5juE,I Thrift Shopped the RICHEST CITY vs POOREST CITY,2024-09-14,14:00:31Z,4234788,83979,2638.0,PT17M45S,7260000,1065,18,Full Video,https://i.ytimg.com/vi/QU_VkUq5juE/hqdefault.jpg,0,1,0,0,0,0,2024,9,14
goJXBhbpiZI,I Tested UNREALISTIC Custom Nails,2024-08-31,14:30:27Z,4877261,66890,10384.0,PT22M24S,7260000,1344,22,Full Video,https://i.ytimg.com/vi/goJXBhbpiZI/hqdefault.jpg,0,1,0,0,0,0,2024,8,31
GaSz-hwiopI,#airbnbpartner LIFE-SIZED POLLY POCKET Icon. Thanks to @Airbnb for sponsoring & flying us in!,2024-08-26,18:55:12Z,2459373,77028,289.0,PT34S,7260000,34,1,Shorts,https://i.ytimg.com/vi/GaSz-hwiopI/hqdefault.jpg,1,0,0,0,0,0,2024,8,26
Cs0pnZh723s,Customizing iPhones and Giving them Away! 🔴 LIVE EXPERIENCE 🔴,2024-08-24,00:34:41Z,1362971,16796,6278.0,PT1H21M5S,7260000,4865,81,Full Video,https://i.ytimg.com/vi/Cs0pnZh723s/hqdefault.jpg,0,1,0,0,0,0,2024,8,24
